
Gurobi 7.0.2 (linux64) logging started Thu Jun  8 13:17:32 2017

Changed value of parameter logfile to result/NEIS-20170608T1255/scenario_base.log
   Prev: gurobi.log  Default: 
Optimize a model with 1059933 rows, 937229 columns and 3961670 nonzeros
Coefficient statistics:
  Matrix range     [8e-04, 1e+05]
  Objective range  [1e+00, 1e+00]
  Bounds range     [0e+00, 0e+00]
  RHS range        [4e-04, 1e+05]

Concurrent LP optimizer: primal simplex, dual simplex, and barrier
Showing barrier log only...

Presolve removed 580114 rows and 635954 columns
Presolve time: 2.91s
Presolved: 479819 rows, 301275 columns, 1383529 nonzeros

Ordering time: 0.42s

Barrier statistics:
 Dense cols : 22
 AA' NZ     : 1.918e+06
 Factor NZ  : 6.933e+06 (roughly 400 MBytes of memory)
 Factor Ops : 1.616e+08 (less than 1 second per iteration)
 Threads    : 22

                  Objective                Residual
Iter       Primal          Dual         Primal    Dual     Compl     Time
 166   1.01161526e+07  9.98854938e+06  8.25e-06 1.09e-09  1.71e-01    99s
 167   1.00899622e+07  9.99529578e+06  6.05e-06 1.48e-09  1.27e-01   100s
 168   1.00739708e+07  1.00027499e+07  4.63e-06 1.41e-09  9.55e-02   100s
 169   1.00683384e+07  1.00042068e+07  4.15e-06 9.75e-10  8.60e-02   101s
 170   1.00614118e+07  1.00057780e+07  3.55e-06 6.40e-10  7.46e-02   101s
 171   1.00543040e+07  1.00070858e+07  2.94e-06 5.60e-10  6.33e-02   101s
 172   1.00460637e+07  1.00109292e+07  2.25e-06 3.20e-10  4.71e-02   102s
 173   1.00409783e+07  1.00115624e+07  1.81e-06 3.78e-10  3.94e-02   102s
 174   1.00365815e+07  1.00138820e+07  1.46e-06 7.86e-10  3.04e-02   103s
 175   1.00327453e+07  1.00154312e+07  1.14e-06 1.67e-10  2.32e-02   104s
 176   1.00302684e+07  1.00158686e+07  9.44e-07 2.62e-10  1.93e-02   104s
 177   1.00291165e+07  1.00161680e+07  8.49e-07 7.57e-10  1.74e-02   105s
 178   1.00282633e+07  1.00164399e+07  7.79e-07 7.28e-10  1.59e-02   105s
 179   1.00273556e+07  1.00165145e+07  7.05e-07 9.02e-10  1.45e-02   106s
 180   1.00253756e+07  1.00170405e+07  5.41e-07 1.06e-09  1.12e-02   106s
 181   1.00242943e+07  1.00172167e+07  4.50e-07 9.09e-10  9.49e-03   107s
 182   1.00235112e+07  1.00175529e+07  3.89e-07 9.82e-10  7.99e-03   107s
 183   1.00227732e+07  1.00176645e+07  3.28e-07 1.75e-10  6.85e-03   108s
 184   1.00217531e+07  1.00177987e+07  2.45e-07 1.31e-10  5.30e-03   108s
 185   1.00213006e+07  1.00179023e+07  2.07e-07 8.15e-10  4.56e-03   109s
 186   1.00210899e+07  1.00180133e+07  1.91e-07 1.96e-10  4.13e-03   109s
 187   1.00209016e+07  1.00180865e+07  1.76e-07 1.60e-10  3.77e-03   110s
 188   1.00204525e+07  1.00181377e+07  1.40e-07 1.75e-10  3.10e-03   110s
 189   1.00202208e+07  1.00182314e+07  1.23e-07 6.69e-10  2.67e-03   111s
 190   1.00200313e+07  1.00182907e+07  1.07e-07 2.26e-10  2.33e-03   111s
 191   1.00199525e+07  1.00183651e+07  1.01e-07 3.90e-11  2.13e-03   112s
 192   1.00197527e+07  1.00184075e+07  8.41e-08 3.27e-10  1.80e-03   112s
 193   1.00196078e+07  1.00184688e+07  7.18e-08 3.20e-10  1.53e-03   113s
 194   1.00194655e+07  1.00185289e+07  6.08e-08 1.21e-09  1.26e-03   113s
 195   1.00192084e+07  1.00185742e+07  3.96e-08 3.42e-10  8.50e-04   114s
 196   1.00191069e+07  1.00185929e+07  3.10e-08 3.73e-09  6.89e-04   114s
 197   1.00189420e+07  1.00186757e+07  1.82e-08 3.57e-09  3.57e-04   115s
 198   1.00189065e+07  1.00186787e+07  1.53e-08 3.29e-09  3.06e-04   116s
 199   1.00188497e+07  1.00186899e+07  1.06e-08 2.20e-09  2.14e-04   117s
 200   1.00187844e+07  1.00186972e+07  1.08e-08 1.34e-09  1.17e-04   117s
 201   1.00187552e+07  1.00187051e+07  7.58e-08 2.16e-08  6.72e-05   118s
 202   1.00187312e+07  1.00187077e+07  1.43e-06 7.47e-09  3.15e-05   119s
 203   1.00187310e+07  1.00187078e+07  1.49e-06 5.97e-10  3.11e-05   120s
 204   1.00187310e+07  1.00187078e+07  1.49e-06 2.62e-10  3.11e-05   121s
 205   1.00187310e+07  1.00187078e+07  3.21e-06 2.40e-10  3.11e-05   121s
 206   1.00187310e+07  1.00187078e+07  3.00e-06 1.46e-10  3.10e-05   122s
 207   1.00187309e+07  1.00187078e+07  2.88e-06 7.42e-10  3.10e-05   123s
 208   1.00187306e+07  1.00187079e+07  2.60e-06 6.26e-10  3.04e-05   124s
 209   1.00187306e+07  1.00187079e+07  4.53e-06 5.68e-10  3.04e-05   125s
 210   1.00187305e+07  1.00187079e+07  4.50e-06 2.33e-10  3.02e-05   126s
 211   1.00187305e+07  1.00187079e+07  4.50e-06 8.59e-10  3.02e-05   127s
 212   1.00187304e+07  1.00187080e+07  4.50e-06 4.51e-10  3.01e-05   128s

Barrier performed 212 iterations in 128.02 seconds
Sub-optimal termination - objective 1.00187552e+07

Crossover log...

  210515 DPushes remaining with DInf 0.0000000e+00               128s
   78728 DPushes remaining with DInf 0.0000000e+00               130s
   76562 DPushes remaining with DInf 0.0000000e+00               136s
   74757 DPushes remaining with DInf 0.0000000e+00               141s
   72952 DPushes remaining with DInf 0.0000000e+00               146s
   71147 DPushes remaining with DInf 0.0000000e+00               151s
   69342 DPushes remaining with DInf 0.0000000e+00               156s
   67898 DPushes remaining with DInf 0.0000000e+00               160s
   66093 DPushes remaining with DInf 0.0000000e+00               166s
   64649 DPushes remaining with DInf 0.0000000e+00               170s
   62844 DPushes remaining with DInf 0.0000000e+00               175s
   54111 DPushes remaining with DInf 0.0000000e+00               180s
   50750 DPushes remaining with DInf 0.0000000e+00               186s
   48884 DPushes remaining with DInf 0.0000000e+00               191s
   46987 DPushes remaining with DInf 0.0000000e+00               195s
   43601 DPushes remaining with DInf 0.0000000e+00               200s
   40327 DPushes remaining with DInf 0.0000000e+00               205s
   35469 DPushes remaining with DInf 0.0000000e+00               211s
   31854 DPushes remaining with DInf 0.0000000e+00               215s
   23912 DPushes remaining with DInf 0.0000000e+00               220s
   17775 DPushes remaining with DInf 0.0000000e+00               225s
   14877 DPushes remaining with DInf 0.0000000e+00               230s
   13377 DPushes remaining with DInf 0.0000000e+00               236s
   11016 DPushes remaining with DInf 0.0000000e+00               241s
    8033 DPushes remaining with DInf 0.0000000e+00               246s
       0 DPushes remaining with DInf 1.9937702e-09               248s

  199178 PPushes remaining with PInf 2.3133270e-01               248s
   31797 PPushes remaining with PInf 3.6516873e-01               250s
       0 PPushes remaining with PInf 1.7021612e-02               254s

  Push phase complete: Pinf 1.7021612e-02, Dinf 6.2781854e+05    254s

Iteration    Objective       Primal Inf.    Dual Inf.      Time
  405684    1.0018717e+07   0.000000e+00   6.278185e+05    254s
  406045    1.0018713e+07   0.000000e+00   1.556202e+04    256s
  407489    1.0018713e+07   0.000000e+00   1.700885e+03    261s
  408070    1.0018713e+07   0.000000e+00   0.000000e+00    266s

Solved with barrier
Solved in 408070 iterations and 265.86 seconds
Optimal objective  1.001871273e+07
